City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Carauari,BR,-4.8828,-66.8958,74.19,98,100,0.25,overcast clouds
80,Honiara,SB,-9.4333,159.95,89.42,54,54,7.67,broken clouds
81,Talwara,IN,31.9486,75.8667,62.98,52,0,3.89,clear sky
82,Crestview,US,30.7621,-86.5705,60.39,83,1,0.0,clear sky
83,Mana,GF,5.6592,-53.7767,77.61,87,73,7.67,broken clouds
84,Tiszakarad,HU,48.2,21.7167,38.89,85,50,4.27,scattered clouds
85,Victoria,HK,22.2855,114.1577,67.95,63,100,1.01,overcast clouds
86,Fomboni,KM,-12.28,43.7425,80.76,79,12,12.95,few clouds
87,Port Blair,IN,11.6667,92.75,83.43,79,100,14.52,moderate rain
88,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,88,75,3.44,light rain
89,Geraldton,AU,-28.7667,114.6,66.61,72,51,12.66,broken clouds
90,Cherskiy,RU,68.75,161.3,5.63,96,100,3.22,light snow
91,Okhotsk,RU,59.3833,143.3,5.07,73,67,14.97,broken clouds
92,Lulea,SE,65.5842,22.1547,19.47,93,90,2.3,overcast clouds
93,Saint Anthony,US,45.0205,-93.218,49.93,56,75,1.01,broken clouds
94,Pochutla,MX,15.7432,-96.4661,78.82,90,29,3.51,scattered clouds
95,Xai-Xai,MZ,-25.0519,33.6442,74.08,50,59,4.7,broken clouds
96,Iralaya,HN,15.0,-83.2333,78.71,68,29,16.98,scattered clouds
97,Tevriz,RU,57.509,72.4042,29.28,95,95,6.82,overcast clouds
98,Murree,PK,33.9073,73.393,38.25,34,0,7.58,clear sky
99,San Cristobal,VE,7.7669,-72.225,73.58,98,66,1.45,broken clouds
100,Chokurdakh,RU,70.6333,147.9167,-12.17,92,63,7.65,broken clouds
101,Kodiak,US,57.79,-152.4072,32.54,78,35,8.41,scattered clouds
102,Vardo,NO,70.3705,31.1107,30.58,72,99,12.35,light snow
103,Yiyang,CN,28.5892,112.3283,53.19,48,4,2.37,clear sky
104,Vila,PT,42.0304,-8.1588,48.94,91,12,4.59,few clouds
105,Filingue,NE,14.3521,3.3168,83.39,13,20,3.85,few clouds
106,Bolgatanga,GH,10.7856,-0.8514,80.64,37,3,4.47,clear sky
107,Medicine Hat,CA,50.0501,-110.6683,37.85,58,40,3.0,scattered clouds
108,Marystown,CA,47.1666,-55.1483,43.86,100,100,4.09,overcast clouds
109,Narsaq,GL,60.9167,-46.05,26.82,78,8,3.36,clear sky
110,Lagoa,PT,39.05,-27.9833,62.29,93,100,6.46,overcast clouds
111,Bethel,US,41.3712,-73.414,51.15,79,1,4.61,clear sky
112,Mandapam,IN,9.2833,79.1167,75.94,92,100,22.84,overcast clouds
113,Bereda,ES,43.2686,-7.5406,55.42,100,89,4.52,overcast clouds
114,Anaco,VE,9.4389,-64.4728,74.57,81,100,5.73,overcast clouds
115,Vilyuysk,RU,63.7553,121.6247,28.26,96,100,7.4,light snow
116,Faanui,PF,-16.4833,-151.75,79.12,76,23,13.98,light rain
117,Thinadhoo,MV,0.5333,72.9333,83.19,68,43,17.16,scattered clouds
118,Tasiilaq,GL,65.6145,-37.6368,32.16,69,100,7.47,overcast clouds
119,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,11.5,scattered clouds
120,Georgetown,MY,5.4112,100.3354,85.93,80,20,0.0,few clouds
121,Beira,MZ,-19.8436,34.8389,77.09,88,40,5.75,scattered clouds
122,Malatya,TR,38.5,38.0,32.05,80,0,3.44,clear sky
