City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Shelopugino,RU,2021-11-08 18:00:55,51.6514,117.5599,15.73,76,21,1.54
68,Barrow,US,2021-11-08 17:57:24,71.2906,-156.7887,21.22,86,90,12.66
69,Puerto Ayora,EC,2021-11-08 18:00:55,-0.7393,-90.3518,72.01,71,67,10.56
70,Halifax,CA,2021-11-08 17:57:51,44.6453,-63.5724,54.41,74,75,3.44
71,Kalianget,ID,2021-11-08 18:00:56,-7.05,113.9333,83.97,72,100,2.01
72,Cabo San Lucas,MX,2021-11-08 18:00:56,22.8909,-109.9124,88.52,55,94,1.01
73,Sorland,NO,2021-11-08 18:00:57,67.667,12.6934,39.06,62,82,13.22
74,Isiro,CD,2021-11-08 18:00:57,2.7739,27.616,68.74,98,96,1.45
75,Lebu,CL,2021-11-08 18:00:58,-37.6167,-73.65,58.89,78,6,15.68
76,Port Alfred,ZA,2021-11-08 18:00:58,-33.5906,26.891,60.87,84,100,15.68
77,Victoria,HK,2021-11-08 17:58:48,22.2855,114.1577,65.32,49,2,1.99
78,Freeport,US,2021-11-08 17:59:57,40.6576,-73.5832,66.36,46,0,1.99
79,Taoudenni,ML,2021-11-08 18:00:59,22.6783,-3.9836,75.42,18,26,10.96
80,Iisalmi,FI,2021-11-08 18:00:59,63.5592,27.1907,26.62,80,1,5.14
81,Glenwood Springs,US,2021-11-08 18:01:00,39.5505,-107.3248,62.4,44,90,4.61
82,Airai,TL,2021-11-08 18:01:00,-8.9266,125.4092,63.09,94,100,0.34
83,Pitimbu,BR,2021-11-08 18:01:01,-7.4706,-34.8086,82.62,67,54,12.1
84,Omsukchan,RU,2021-11-08 18:01:01,62.5333,155.8,-1.68,94,100,5.08
85,Mahebourg,MU,2021-11-08 18:01:02,-20.4081,57.7,75.25,81,48,11.12
86,Pevek,RU,2021-11-08 18:01:03,69.7008,170.3133,5.61,90,74,7.76
87,Mar Del Plata,AR,2021-11-08 18:00:06,-38.0023,-57.5575,61.88,90,1,8.01
88,Tecoanapa,MX,2021-11-08 18:01:04,16.5167,-98.75,84.36,66,31,5.26
89,Saint-Philippe,RE,2021-11-08 17:56:13,-21.3585,55.7679,74.79,85,43,9.78
90,Kampong Thum,KH,2021-11-08 18:01:05,12.7111,104.8887,74.35,95,63,4.27
91,Beira,MZ,2021-11-08 18:01:05,-19.8436,34.8389,77.81,84,0,14.74
92,Tiksi,RU,2021-11-08 18:01:06,71.6872,128.8694,16.56,79,100,17.87
93,San,ML,2021-11-08 17:57:39,13.3034,-4.8956,94.73,20,61,6.62
94,Khatanga,RU,2021-11-08 18:01:06,71.9667,102.5,-10.44,99,93,7.58
95,Usmajac,MX,2021-11-08 18:01:07,19.8667,-103.5667,78.19,37,41,3.06
96,Barcelos,PT,2021-11-08 18:01:07,41.5388,-8.6151,63.28,75,11,2.89
97,Beloha,MG,2021-11-08 18:01:08,-25.1667,45.05,76.82,60,62,4.79
98,Palana,RU,2021-11-08 18:01:08,59.1167,159.9667,19.42,89,96,12.1
99,Denia,ES,2021-11-08 18:01:08,38.8408,0.1057,64.85,58,1,1.01
100,Kulhudhuffushi,MV,2021-11-08 18:01:09,6.6221,73.07,81.79,78,100,13.67
101,Yellowknife,CA,2021-11-08 18:01:09,62.456,-114.3525,24.42,94,100,4.0
102,Klaksvik,FO,2021-11-08 18:01:10,62.2266,-6.589,49.12,83,100,22.44
103,Honiara,SB,2021-11-08 18:01:10,-9.4333,159.95,77.14,85,10,5.64
104,Longyearbyen,SJ,2021-11-08 17:58:36,78.2186,15.6401,2.44,97,76,2.55
105,Butaritari,KI,2021-11-08 18:01:11,3.0707,172.7902,81.75,71,5,14.85
106,Baykit,RU,2021-11-08 18:01:12,61.67,96.37,28.27,93,100,11.68
107,Aswan,EG,2021-11-08 18:01:12,24.0934,32.907,82.71,16,0,11.79
108,Gambiran,ID,2021-11-08 18:01:12,-6.7988,111.4951,79.05,84,100,2.55
109,Porto Novo,BJ,2021-11-08 18:01:13,6.4965,2.6036,81.14,80,80,7.05
110,Puerto Madryn,AR,2021-11-08 18:01:13,-42.7692,-65.0385,63.21,51,83,19.28
111,San Quintin,MX,2021-11-08 18:01:14,30.4833,-115.95,66.07,68,1,5.68
112,Grenada,ES,2021-11-08 18:01:14,37.1882,-3.6067,55.9,52,0,1.99
113,Provideniya,RU,2021-11-08 18:01:15,64.3833,-173.3,12.0,86,11,5.59
114,Ostrovnoy,RU,2021-11-08 18:01:15,68.0531,39.5131,29.32,67,100,18.5
115,Zeya,RU,2021-11-08 18:01:16,53.75,127.2667,12.47,84,3,2.93
116,Kaitangata,NZ,2021-11-08 18:01:16,-46.2817,169.8464,51.49,92,84,3.29
117,Asau,RO,2021-11-08 18:01:17,46.4333,26.4,47.75,83,100,3.91
118,Santa Cruz Del Sur,CU,2021-11-08 18:01:17,20.7147,-77.9956,79.39,62,100,7.45
119,Weyburn,CA,2021-11-08 18:01:18,49.6668,-103.8511,44.19,31,0,16.13
120,Bredasdorp,ZA,2021-11-08 18:01:18,-34.5322,20.0403,58.28,63,58,6.11
121,Deogarh,IN,2021-11-08 18:01:19,21.5333,84.7333,64.22,62,59,2.77
122,Asenovgrad,BG,2021-11-08 18:00:09,42.0167,24.8667,55.2,94,43,5.75
123,Rudiskes,LT,2021-11-08 18:01:19,54.5167,24.8333,38.21,84,43,8.43
124,Chokurdakh,RU,2021-11-08 18:01:20,70.6333,147.9167,-17.27,93,11,7.16
125,Crotone,IT,2021-11-08 18:01:20,39.0851,17.1178,58.93,93,93,13.98
126,Guerrero Negro,MX,2021-11-08 18:01:21,27.9769,-114.0611,69.35,64,100,3.67
127,Abha,SA,2021-11-08 18:01:21,18.2164,42.5053,60.15,44,71,5.82
128,Pulsano,IT,2021-11-08 18:01:22,40.3821,17.3564,68.49,92,100,18.07
129,Kiunga,PG,2021-11-08 18:01:22,-6.1219,141.2906,74.5,100,100,0.96
130,Ojinaga,MX,2021-11-08 18:01:23,29.5667,-104.4167,86.58,31,1,0.0
131,Codrington,AU,2021-11-08 18:01:23,-38.2667,141.9667,43.77,93,21,6.87
132,Husavik,IS,2021-11-08 18:01:24,66.0449,-17.3389,33.55,84,20,15.12
133,Evensk,RU,2021-11-08 18:01:24,61.95,159.2333,22.03,95,100,6.42
134,Faya,SA,2021-11-08 18:01:24,18.3851,42.4509,60.37,43,66,4.61
135,Vardo,NO,2021-11-08 18:01:25,70.3705,31.1107,28.38,80,40,21.85
